n_generated,baseline,noise,interpolation_noise,extrapolation_noise,multi_vae
2,0.776,0.402,0.636,0.542,0.635
3,0.776,0.518,0.681,0.637,0.666
4,0.776,0.542,0.699,0.616,0.697
5,0.776,0.555,0.686,0.574,0.712
10,0.776,0.618,0.740,0.696,0.764
20,0.776,0.670,0.748,0.740,0.773
30,0.776,0.700,0.765,0.744,0.769
50,0.776,0.726,0.774,0.754,0.763
100,0.776,0.750,0.797,0.771,0.768
200,0.776,0.765,0.790,0.761,0.771
500,0.776,0.788,0.792,0.770,0.774
1000,0.776,0.775,0.788,0.773,0.767
2000,0.776,0.777,0.792,0.765,0.770
